"","source","target","correlation","pval","pval_adj","comb"
"2421779","HNF4A","F12",0.217893084327912,1.05858433130379e-10,2.64285130063256e-10,"HNF4A_F12"
"2421884","KLKB1","F12",-0.178709190378242,1.32260808971552e-07,2.75636784886844e-07,"KLKB1_F12"
"2422437","SERPINE1","F12",-0.133440349652461,8.66887276069761e-05,0.000147953808771717,"SERPINE1_F12"
"2422458","MMP13","F12",0.124106126367883,0.000263954865481253,0.000432916406703104,"MMP13_F12"
"2422775","MMP12","F12",0.271533256757011,4.44089209850063e-16,1.43719484924292e-15,"MMP12_F12"
"2424674","CAV1","HMGA1",-0.153475008961184,6.15379602808552e-06,1.1458080241661e-05,"CAV1_HMGA1"
"2424792","CDK1","HMGA1",0.53859124838894,0,0,"CDK1_HMGA1"
"2430957","NPM1","CDKN2A",0.283289852143154,0,0,"NPM1_CDKN2A"
"2431322","TBX2","CDKN2A",-0.224541936485467,2.72866174100272e-11,7.0296251185265e-11,"TBX2_CDKN2A"
"2431653","TBX5","CDKN2A",-0.264570928706057,3.10862446895044e-15,9.72580433332322e-15,"TBX5_CDKN2A"
"2434472","DLGAP5","DLG4",-0.350371706245452,0,0,"DLGAP5_DLG4"
"2434551","FYN","DLG4",0.68168325582398,0,0,"FYN_DLG4"
"2435622","LRRC4B","DLG4",0.734105383918336,0,0,"LRRC4B_DLG4"
"2441045","NEK2","SGO1",0.863610834533526,0,0,"NEK2_SGO1"
"2442436","CDK1","SGO1",0.806071488087932,0,0,"CDK1_SGO1"
"2444018","VEPH1","LATS2",0.280995412871198,0,0,"VEPH1_LATS2"
"2451912","EPAS1","KDM6B",0.474578182133028,0,0,"EPAS1_KDM6B"
"2456534","STAT1","KRT17",0.137874633010248,4.97525659084452e-05,8.65444427812189e-05,"STAT1_KRT17"
"2491482","BUB1","H2AC11",0.227724500896343,1.40432110384836e-11,3.6725730434928e-11,"BUB1_H2AC11"
"2491688","BRCC3","H2AC11",0.174695262401596,2.53208626066481e-07,5.18154318791012e-07,"BRCC3_H2AC11"
"2495045","KLKB1","KNG1",0.125622715527234,0.000221394895950411,0.000365444521915277,"KLKB1_KNG1"
"2497986","CDK1","NME1",0.680776993258437,0,0,"CDK1_NME1"
"2500085","DAB2","DAB2IP",0.558526057139501,0,0,"DAB2_DAB2IP"
"2500190","SKP2","DAB2IP",-0.26603126183476,2.22044604925031e-15,6.99128618792673e-15,"SKP2_DAB2IP"
"2509964","SOSTDC1","WNT7B",-0.268122819793866,1.33226762955019e-15,4.23500011360826e-15,"SOSTDC1_WNT7B"
"2513338","CAMK2A","ALOX5",0.330706349094167,0,0,"CAMK2A_ALOX5"
"2519155","WNT5B","FZD3",0.129556294352435,0.000139035413996069,0.000233382696188457,"WNT5B_FZD3"
"2519386","WNT2B","FZD3",-0.333676346210827,0,0,"WNT2B_FZD3"
"2519645","WNT9B","FZD3",-0.181839598621277,7.88870901935468e-08,1.66757388946656e-07,"WNT9B_FZD3"
"2520438","WNT3A","FZD3",-0.322037438068467,0,0,"WNT3A_FZD3"
"2520658","WNT3","FZD3",0.245399019688244,2.92210700081341e-13,8.31848234963546e-13,"WNT3_FZD3"
"2521132","WNT7B","FZD3",0.076851104464316,0.0242104735098123,0.0326597864493634,"WNT7B_FZD3"
"2527950","SPI1","GATA2",0.33883815847867,0,0,"SPI1_GATA2"
"2529367","CDK1","GATA2",-0.381269893303129,0,0,"CDK1_GATA2"
"2529766","ZC3H12A","GATA2",0.168957251780204,6.24565654305798e-07,1.24552622503064e-06,"ZC3H12A_GATA2"
"2532400","HOXC13","DSG4",0.0753124128379041,0.027208161356105,0.0364746331298897,"HOXC13_DSG4"
"2534641","PTPRB","GHR",0.690015968149578,0,0,"PTPRB_GHR"
"2534644","PTPRH","GHR",-0.321999734993941,0,0,"PTPRH_GHR"
"2536499","GH1","GHR",0.208087278046268,7.22853554790959e-10,1.72389136415875e-09,"GH1_GHR"
"2554535","GADD45B","CDK11A",0.556011238015608,0,0,"GADD45B_CDK11A"
"2571528","AKT3","TBX3",0.711990976980842,0,0,"AKT3_TBX3"
"2575993","ZEB2","VDR",-0.297366086998717,0,0,"ZEB2_VDR"
"2591181","C5","C5AR1",-0.134000547524063,8.08920253680956e-05,0.000138386228856807,"C5_C5AR1"
"2594083","ANGPT1","TIE1",0.670449300387078,0,0,"ANGPT1_TIE1"
"2597270","SALL4","ABCA3",-0.234785621795613,3.10373948764209e-12,8.39422177366537e-12,"SALL4_ABCA3"
"2604112","CDK1","ORC1",0.702394998946554,0,0,"CDK1_ORC1"
"2613435","CD27","BIK",0.126254333217947,0.000205642696333941,0.000340336838392662,"CD27_BIK"
"2617786","KLF1","KLF8",0.154970574076167,4.98000161552881e-06,9.33347374058117e-06,"KLF1_KLF8"
"2621240","INCENP","AURKA",0.629884265469731,0,0,"INCENP_AURKA"
"2621255","LIMK1","AURKA",0.283730689770682,0,0,"LIMK1_AURKA"
"2621468","PPP1CA","AURKA",0.451327673398999,0,0,"PPP1CA_AURKA"
"2621828","BORA","AURKA",0.610578592471868,0,0,"BORA_AURKA"
"2621846","NEDD9","AURKA",-0.356843176449067,0,0,"NEDD9_AURKA"
"2622315","PAK1","AURKA",0.405706114214847,0,0,"PAK1_AURKA"
"2625757","DCAF12","MAGEA3",0.15365436285077,6.00020387331313e-06,1.11811973817983e-05,"DCAF12_MAGEA3"
"2630798","CDC20","UBE2S",0.751040166653591,0,0,"CDC20_UBE2S"
"2643284","MFGE8","IL1B",0.0777475184608618,0.0225993431264591,0.0305966231577256,"MFGE8_IL1B"
"2662541","PTPRG","DOK2",0.160111751046296,2.3695403985613e-06,4.54251097001471e-06,"PTPRG_DOK2"
"2677773","EGR1","TBXA2R",0.111634933525383,0.00104075066589182,0.0016195639648699,"EGR1_TBXA2R"
"2685377","AURKA","KNSTRN",0.630440455795888,0,0,"AURKA_KNSTRN"
"2690183","CHEK2","E2F1",0.534179109898404,0,0,"CHEK2_E2F1"
"2690857","HES6","E2F1",0.343859754038721,0,0,"HES6_E2F1"
"2690862","HIC1","E2F1",-0.298730841856613,0,0,"HIC1_E2F1"
"2691531","CDK1","E2F1",0.587281637819777,0,0,"CDK1_E2F1"
"2691752","CDK7","E2F1",0.222355838305146,4.28159729892741e-11,1.09169251516526e-10,"CDK7_E2F1"
"2703033","PLK4","TUBGCP6",-0.470103494395597,0,0,"PLK4_TUBGCP6"
"2704575","TWIST2","PFDN4",-0.249826332478259,1.0547118733939e-13,3.06884052603855e-13,"TWIST2_PFDN4"
"2710993","CD79B","TP53",0.151335240743801,8.3013492413464e-06,1.53112432990007e-05,"CD79B_TP53"
"2710995","PLK3","TP53",-0.374294117789976,0,0,"PLK3_TP53"
"2710999","C10orf90","TP53",0.135903987255787,6.38112921529377e-05,0.000110057022161645,"C10orf90_TP53"
"2711088","KLF4","TP53",-0.400832839256612,0,0,"KLF4_TP53"
"2711099","CHEK2","TP53",0.280176527663877,0,0,"CHEK2_TP53"
"2711121","TTK","TP53",0.301730177222778,0,0,"TTK_TP53"
"2711160","PRKDC","TP53",0.305872781786388,0,0,"PRKDC_TP53"
"2711224","CHEK1","TP53",0.295989146870822,0,0,"CHEK1_TP53"
"2711471","PLK1","TP53",0.318199848255483,0,0,"PLK1_TP53"
"2711519","PPP1CA","TP53",0.387197218337581,0,0,"PPP1CA_TP53"
"2711654","CDK5","TP53",0.426513374376742,0,0,"CDK5_TP53"
"2711973","CDC14A","TP53",-0.424123080403978,0,0,"CDC14A_TP53"
"2712024","DUSP26","TP53",-0.320561447930299,0,0,"DUSP26_TP53"
"2712268","VRK1","TP53",0.324868897859889,0,0,"VRK1_TP53"
"2712343","MAPK11","TP53",-0.411507462353721,0,0,"MAPK11_TP53"
"2712364","U2AF1","TP53",-0.4107041082968,0,0,"U2AF1_TP53"
"2712447","CDK1","TP53",0.270872811033548,6.66133814775094e-16,2.14856636874476e-15,"CDK1_TP53"
"2712478","ARMC10","TP53",0.308969069308279,0,0,"ARMC10_TP53"
"2712515","MAPK13","TP53",0.321977862965119,0,0,"MAPK13_TP53"
"2712613","SIN3B","TP53",-0.430219604565848,0,0,"SIN3B_TP53"
"2712634","TRIM24","TP53",0.393454375696374,0,0,"TRIM24_TP53"
"2712654","MLF1","TP53",0.263899078901195,3.5527136788005e-15,1.10859674364786e-14,"MLF1_TP53"
"2712668","CDK7","TP53",0.457621553766616,0,0,"CDK7_TP53"
"2713162","CDKN2A","TP53",0.245455839493306,2.88435941797616e-13,8.21334881961374e-13,"CDKN2A_TP53"
"2713247","AURKA","TP53",0.208783667261144,6.32593533111958e-10,1.51355784842773e-09,"AURKA_TP53"
"2713272","RFWD3","TP53",0.396271213787905,0,0,"RFWD3_TP53"
"2715304","DNMT3B","DPP6",-0.112739415571407,0.000926566949779328,0.00144846616558404,"DNMT3B_DPP6"
"2715628","FBXO45","TWIST1",0.335095069318008,0,0,"FBXO45_TWIST1"
"2715968","EZH2","TWIST1",0.259878116718791,9.76996261670138e-15,2.98777440668558e-14,"EZH2_TWIST1"
"2717002","MAPK11","TWIST1",-0.103668184246702,0.00233508617986478,0.00351552977217026,"MAPK11_TWIST1"
"2721455","CAMK2A","SYNGAP1",0.588710282746206,0,0,"CAMK2A_SYNGAP1"
"2725944","DLK1","SOX9",0.11501811571383,0.000726684779256415,0.00114686703983521,"DLK1_SOX9"
"2726273","TCF4","SOX9",-0.208577429441859,6.58113119555992e-10,1.5731550642023e-09,"TCF4_SOX9"
"2737895","PRKCE","OPRD1",-0.155551673449928,4.5844115228455e-06,8.61423920443686e-06,"PRKCE_OPRD1"
"2738668","PPBP","OPRD1",-0.0918113472927772,0.0070554985813831,0.01011703894619,"PPBP_OPRD1"
"2752458","PRKG1","TRPC3",0.488722707551596,0,0,"PRKG1_TRPC3"
"2772605","NFE2","HBD",0.262172067459166,5.55111512312578e-15,1.71766893309858e-14,"NFE2_HBD"
"2791014","VWF","F8",0.53896694131346,0,0,"VWF_F8"
"2799948","HUNK","ITM2A",-0.137925010982693,4.94348539441525e-05,8.6010733018442e-05,"HUNK_ITM2A"
"2814476","STAT1","MUC4",0.123229490052478,0.00029193143452777,0.000477019854508267,"STAT1_MUC4"
"2816273","ETS1","MUC4",-0.229673259568003,9.30411303556866e-12,2.45593207726505e-11,"ETS1_MUC4"
"2816699","E2F1","MUC4",0.151271787228591,8.37484974347547e-06,1.54425204948036e-05,"E2F1_MUC4"
"2817928","CAMK2A","OPRM1",-0.0926739223660565,0.00653540743259384,0.00940411184018353,"CAMK2A_OPRM1"
"2824144","CHEK1","AURKB",0.718341921465693,0,0,"CHEK1_AURKB"
"2824211","INCENP","AURKB",0.667109492022215,0,0,"INCENP_AURKB"
"2827188","SCNN1A","CACNA1H",-0.0846827634058247,0.0129829141311326,0.0180793213775889,"SCNN1A_CACNA1H"
"2827430","CAMK2A","CACNA1H",0.408663720166969,0,0,"CAMK2A_CACNA1H"
"2833480","SPDEF","MMP9",0.0737064432241995,0.0306726567686431,0.0408553010278592,"SPDEF_MMP9"
"2834835","USP6","MMP9",-0.100114497868815,0.00329219939638659,0.00488374061978754,"USP6_MMP9"
"2834914","PZP","MMP9",-0.111947290087636,0.00100720622352268,0.00156933392380016,"PZP_MMP9"
"2835189","A2M","MMP9",-0.225001129924253,2.48081555298540e-11,6.40512982229329e-11,"A2M_MMP9"
"2840553","KDM5B","H3.3A",0.492569462325933,0,0,"KDM5B_H3.3A"
"2840677","CBX1","H3.3A",0.450187861867754,0,0,"CBX1_H3.3A"
"2840766","FYN","H3.3A",-0.444331219099726,0,0,"FYN_H3.3A"
"2840804","CHEK1","H3.3A",0.31917818680143,0,0,"CHEK1_H3.3A"
"2840982","KDM5D","H3.3A",-0.282968677830812,0,0,"KDM5D_H3.3A"
"2842449","DOT1L","H3.3A",-0.426497341786645,0,0,"DOT1L_H3.3A"
"2842631","CBX3","H3.3A",0.703402248354559,0,0,"CBX3_H3.3A"
"2842914","AURKB","H3.3A",0.424432487399197,0,0,"AURKB_H3.3A"
"2847683","AURKB","SHCBP1",0.624097466912401,0,0,"AURKB_SHCBP1"
"2855553","CDK5","PPP1R1B",0.226439677308787,1.83844051093729e-11,4.77866805585674e-11,"CDK5_PPP1R1B"
"2864102","CR2","CD19",0.747377905334502,0,0,"CR2_CD19"
"2907591","SOX9","COL9A2",0.0825459174173328,0.015463665994343,0.0213477081762955,"SOX9_COL9A2"
"2925269","CDK5","PARP1",0.412636914960206,0,0,"CDK5_PARP1"
"2926050","FLT3","PARP1",-0.308868093230048,0,0,"FLT3_PARP1"
"2932441","NFATC1","IL6",0.384353900638193,0,0,"NFATC1_IL6"
"2932829","PPP3CC","IL6",0.260987993754402,7.54951656745106e-15,2.32086906805636e-14,"PPP3CC_IL6"
"2934131","IL1B","IL6",0.321647453747447,0,0,"IL1B_IL6"
"2934161","TP53","IL6",-0.135132592405562,7.02760190920415e-05,0.000120802899052565,"TP53_IL6"
"2934583","CDKN1A","CCNB1",-0.210273202314002,4.7483972309692e-10,1.14400957515104e-09,"CDKN1A_CCNB1"
"2934768","PLK1","CCNB1",0.811773810992511,0,0,"PLK1_CCNB1"
"2934980","CDC20","CCNB1",0.850408325380964,0,0,"CDC20_CCNB1"
"2935095","CDC25C","CCNB1",0.871539923367172,0,0,"CDC25C_CCNB1"
"2936076","HLX","CCNB1",-0.291835630263717,0,0,"HLX_CCNB1"
"2936117","CDC25A","CCNB1",0.786353299654589,0,0,"CDC25A_CCNB1"
"2945810","IKBKE","IRF1",-0.0999616189878339,0.00334043206852286,0.00495218812404633,"IKBKE_IRF1"
"2965904","SPI1","TAL1",0.365792647522524,0,0,"SPI1_TAL1"
"2966743","LMO1","TAL1",-0.165629886715393,1.03993105815547e-06,2.04318859507861e-06,"LMO1_TAL1"
"2967720","ZC3H12A","TAL1",0.309566130944711,0,0,"ZC3H12A_TAL1"
"2968140","LMO2","TAL1",0.640132481216705,0,0,"LMO2_TAL1"
"2973820","HNF4A","G6PC1",0.238502157498277,1.37445610448594e-12,3.78448283861995e-12,"HNF4A_G6PC1"
"2975238","NR0B2","G6PC1",0.11935487794425,0.000452122817373946,0.00072671074834832,"NR0B2_G6PC1"
"2980535","SPI1","GATA1",0.448215592188431,0,0,"SPI1_GATA1"
"2980756","FLI1","GATA1",0.623551311362034,0,0,"FLI1_GATA1"
"2982698","DAB2IP","GATA1",0.544123127886472,0,0,"DAB2IP_GATA1"
"2982711","GATA2","GATA1",0.636434301467187,0,0,"GATA2_GATA1"
"2984013","PGAM5","FUNDC1",0.503989490079086,0,0,"PGAM5_FUNDC1"
"2992944","PTPRG","ERBB2",-0.177284981149513,1.66817018643073e-07,3.4541048853324e-07,"PTPRG_ERBB2"
"2993601","LRIG3","ERBB2",0.0762323647857194,0.0253796893433638,0.0341517576506046,"LRIG3_ERBB2"
"2994792","NOTCH1","ERBB2",-0.193931872139272,9.84115633428928e-09,2.19841005138589e-08,"NOTCH1_ERBB2"
"3007393","PTPRB","TEK",0.857631910037086,0,0,"PTPRB_TEK"
"3007958","ANGPT1","TEK",0.70437960150425,0,0,"ANGPT1_TEK"
"3008742","ANGPT4","TEK",0.393845292848065,0,0,"ANGPT4_TEK"
"3009218","ANGPTL1","TEK",0.548653775802587,0,0,"ANGPTL1_TEK"
"3012167","SOX9","CEBPD",-0.259718652734437,1.02140518265514e-14,3.12076092984878e-14,"SOX9_CEBPD"
"3014133","ENG","BMP10",0.296717628318946,0,0,"ENG_BMP10"
"3023189","PCDH19","GABRA4",0.21662003157417,1.36560096564153e-10,3.38939286447945e-10,"PCDH19_GABRA4"
"3024667","CENPE","BUB1B",0.848293419421438,0,0,"CENPE_BUB1B"
"3025085","PLK1","BUB1B",0.828691819753127,0,0,"PLK1_BUB1B"
"3025545","KNL1","BUB1B",0.917764317539485,0,0,"KNL1_BUB1B"
"3026061","CDK1","BUB1B",0.733450668528066,0,0,"CDK1_BUB1B"
"3038555","MMP12","FGA",0.0979412049989645,0.00404108199612985,0.00594181235743833,"MMP12_FGA"
"3039545","CAMP","FPR2",0.136358836762335,6.02671653695541e-05,0.000104153140550745,"CAMP_FPR2"
"3049313","STAT1","TBX21",0.104095173448659,0.00223909943060563,0.00337705931254617,"STAT1_TBX21"
"3051319","TOX2","TBX21",0.261621154971236,6.21724893790088e-15,1.91881279186097e-14,"TOX2_TBX21"
"3063470","ETS1","ITGA11",-0.123325959428056,0.000288722205371794,0.000471964603788544,"ETS1_ITGA11"
"3078021","LNX1","KCNA4",-0.0725564209016804,0.0333800754436926,0.0442553897909974,"LNX1_KCNA4"
"3085222","NBEAL2","SELP",0.467515857845365,0,0,"NBEAL2_SELP"
"3086600","FYN","NOX4",-0.177258070374553,1.67547282270419e-07,3.46882956872666e-07,"FYN_NOX4"
"3095601","PRKG1","RGS18",0.36473830799354,0,0,"PRKG1_RGS18"
"3107223","TFAP2A","SULT1E1",-0.127907214744792,0.000169250051325953,0.000282107359347168,"TFAP2A_SULT1E1"
"3107374","TFAP2C","SULT1E1",-0.228906442172328,1.09452447105696e-11,2.87867860034516e-11,"TFAP2C_SULT1E1"
"3110544","PRKG1","SEPTIN3",-0.260322073969783,8.65973959207622e-15,2.65540457309223e-14,"PRKG1_SEPTIN3"
