"","feature","importance.05","importance","importance.95","permutation.error"
"1","COL1A1",0.12688679245283,0.139937106918239,0.147798742138365,0.14937106918239
"2","NCL",0.0549528301886792,0.0683962264150943,0.0802672955974843,0.0778301886792453
"3","SLC12A2",0.0501572327044025,0.059748427672956,0.0694968553459119,0.0691823899371069
"4","CDH17",0.00463836477987421,0.0110062893081761,0.0141509433962264,0.020440251572327
"5","SOCS3",0.00157232704402516,0.00471698113207547,0.0095125786163522,0.0141509433962264
"6","ADGRG1",-7.86163522012576e-05,0.00157232704402516,0.00471698113207547,0.0110062893081761
