"","feature","importance.05","importance","importance.95","permutation.error"
"1","CALD1",0.0136781609195402,0.0183908045977011,0.0206896551724138,0.0620689655172414
"2","MYLK",0.00908045977011494,0.0160919540229885,0.0208045977011494,0.0597701149425287
"3","SRF",0,0.00229885057471264,0.00229885057471264,0.0459770114942529
"4","ABL1",-0.000114942528735632,0.00229885057471264,0.00229885057471264,0.0459770114942529
"5","MYC",-0.000114942528735632,0.00229885057471264,0.00229885057471264,0.0459770114942529
