"","feature","importance.05","importance","importance.95","permutation.error"
"1","TXNIP",0.0663414634146341,0.0741463414634146,0.0878536585365854,0.0809756097560976
"2","FN1",0.062390243902439,0.0707317073170732,0.0830243902439024,0.0775609756097561
"3","LORICRIN",0.022390243902439,0.031219512195122,0.0381463414634146,0.0380487804878049
"4","BSG",0.0181463414634146,0.0234146341463415,0.0275121951219512,0.0302439024390244
"5","JUNB",0.00282926829268293,0.00585365853658537,0.00985365853658537,0.0126829268292683
