"","feature","importance.05","importance","importance.95","permutation.error"
"1","PERP",0.0857655502392344,0.097488038277512,0.111363636363636,0.105861244019139
"2","DSP",0.059688995215311,0.0741626794258373,0.0789473684210526,0.0825358851674641
"3","KRT15",0.0297248803827751,0.0394736842105263,0.050299043062201,0.0478468899521531
"4","TXNIP",0.0273923444976077,0.0305023923444976,0.0371411483253588,0.0388755980861244
"5","NR4A1",0.0119617224880383,0.0155502392344498,0.0227272727272727,0.0239234449760766
"6","HBA1",0.00711722488038277,0.0107655502392344,0.0167464114832536,0.0191387559808612
"7","TP63",0.00358851674641148,0.00478468899521531,0.00968899521531101,0.0131578947368421
"8","MIF",0,0.00478468899521531,0.00717703349282297,0.0131578947368421
"9","MUC4",-0.00125598086124402,0.00119617224880383,0.0048444976076555,0.00956937799043062
