"","feature","importance.05","importance","importance.95","permutation.error"
"1","CDH1",0.0047677261613692,0.0146699266503667,0.0245721271393643,0.0317848410757946
"2","CTNNB1",0.00464547677261614,0.0134474327628362,0.019559902200489,0.0305623471882641
"3","MUC4",0.00232273838630807,0.00855745721271394,0.017481662591687,0.0256723716381418
"4","MYC",-0.000122249388753056,0.00244498777506113,0.00488997555012225,0.019559902200489
"5","RAC1",0,0.00244498777506113,0.00501222493887531,0.019559902200489
