"","feature","importance.05","importance","importance.95","permutation.error"
"1","VIM",0.147539682539683,0.162698412698413,0.176428571428571,0.186507936507937
"2","VEGFA",0.0395238095238095,0.0468253968253968,0.0556349206349206,0.0706349206349206
"3","CDH1",0.0126190476190476,0.0142857142857143,0.0158730158730159,0.0380952380952381
"4","COL1A1",0.0046031746031746,0.0103174603174603,0.0176190476190476,0.0341269841269841
"5","COL1A2",0.00468253968253968,0.00952380952380952,0.0127777777777778,0.0333333333333333
"6","MECOM",0,0.00317460317460318,0.00325396825396826,0.026984126984127
"7","NFASC",0,0.00158730158730159,0.00333333333333334,0.0253968253968254
"8","CD68",-0.00166666666666666,0.00158730158730159,0.00484126984126984,0.0253968253968254
