"","FROM","TO","default_sign_conn_score"
"149","PTGER2","PIK3R1",36268.7
"150","PTGER2","CDH1",-14987.14
"151","PTGER2","ESR1",18179.2
"152","PTGER2","JUN",-9014.4912
"153","PTGER2","CAV1",-15167.95
"154","PTGER2","AR",2453.7136
"155","PTGER2","HBB",6016.7172
"156","PTGER2","EGFR",29900
"157","PTGER2","PIM1",9391.9488
"158","PTGER2","STAT1",21767.2
"159","PTGER2","PRKDC",8405.2488
"160","PTGER2","NR4A1",-6778.387578
"161","PTGER2","CDKN1A",12551.3921
"162","PTGER2","EPAS1",11081.6241419
"163","PTGER2","VEGFA",27114.6356
"164","PTGER2","NFIB",-85.3992651688
"165","PTGER2","SOCS3",47923.4509
"166","PTGER2","ADGRG1",-76.5779576368834
"167","PTGER2","CDH17",1004.7505104
"168","PTGER2","COL1A1",5149.8187858
"169","PTGER2","SLC12A2",5365.24546698
"170","PTGER2","NCL",-1010.4468192
"171","PTGER2","BHLHE40",-1615.5155913416
"172","PTGER2","BHLHE41",126.2440401536
"173","PTGER2","NOS2",22975.9208
"174","PTGER2","TAP1",6007.7472
"175","PTGER2","INSR",-30900.4839
"176","PTGER2","IRS2",16840.5076092
"177","PTGER2","HSP90AB1",11451.3
"178","PTGER2","HBA1",4891.64
"179","PTGER2","APOE",-1130.7308714
"180","PTGER2","COL1A2",6468.6258
"181","PTGER2","MECOM",2439.84
"182","PTGER2","CD68",3737.6297209546
"183","PTGER2","VIM",3861.8960683
"184","PTGER2","CLU",1145.1393431712
"185","PTGER2","DYRK2",6575.3688
"186","PTGER2","BDKRB2",5303.76
"187","PTGER2","TIMP3",-1270.3313451
"188","PTGER2","TBX2",-737.6851238328
"189","PTGER2","HK2",5402.4516
"190","PTGER2","ITGB4",-10161.3985543
"191","PTGER2","SCNN1G",-18506.2955051
"192","PTGER2","CDR2",684.814324
"193","PTGER2","HLA.A",-3887.4784
"194","PTGER2","TYMS",4916.5168
"195","PTGER2","S1PR1",18831.827288
"196","PTGER2","H2BC21",423.25203336
"197","PTGER2","SFRP1",-5188.0686
"198","PTGER2","DNM1",12475.89
"199","PTGER2","NPM1",740.511351399999
"200","PTGER2","PKN1",4508.3628028
"201","PTGER2","HMGA1",-932.1529448
"202","PTGER2","DUSP1",-16250.6047176
"203","PTGER2","RCAN1",15942.9867142
"204","PTGER2","ERRFI1",19763.9
"205","PTGER2","NME1",-1330.0794039
"206","PTGER2","DLK1",1624.93344
"207","PTGER2","MMP13",-6399.5568
"208","PTGER2","ADM",8917.0417106054
"209","PTGER2","H1.2",-1029.61248
"210","PTGER2","CD300LF",2789.29639086
"211","PTGER2","FGA",1279.91136
"212","PTGER2","GDF15",18195.2775010237
"213","PTGER2","LDLR",-2645.23021
"214","PTGER2","NSF",-6987.559415056
"215","PTGER2","LRIG3",6690.0851732
"216","PTGER2","SLC1A3",3033.59
"217","PTGER2","FKBP5",754.5115743386
"218","PTGER2","IRF1",-2775.318
"219","PTGER2","KRT17",11208.015
"220","PTGER2","SCNN1A",-2847.468793
"221","PTGER2","BEST1",898.196
"222","PTGER2","PRDX3",7903.041798312
"223","PTGER2","HLTF",431.412819688224
"224","PTGER2","CD79A",-7151.7919668116
"225","PTGER2","FOS",60790.9560694
"226","PTGER2","RAB10",6277.593485184
"227","PTGER2","MAPK13",612.213628938001
"228","PTGER2","TXNIP",-5709.2462011
"229","PTGER2","MUC4",8750.4144
"230","PTGER2","DSP",-15036.6912224
"231","PTGER2","TP63",-5026.0704
"232","PTGER2","PERP",-3434.9441336
"233","PTGER2","KRT15",751.912448
"234","PTGER2","RAC1",64722.7631
"235","PTGER2","ITGB1",9293.257272
"236","PTGER2","HSF4",808.0678462
"237","PTGER2","KAT2A",3073.7091164
"238","PTGER2","HDAC7",-6989.311
"239","PTGER2","ERBB3",19614.4
"240","PTGER2","LRIG1",-15101.7724
"241","PTGER2","CRYAB",-292.4953332
"242","PTGER2","FASN",1583.092
"243","PTGER2","CNR1",-996.451629056
"244","PTGER2","ACTG2",-1308.97416
"245","PTGER2","NKX3.1",-4513.704
"246","PTGER2","CTNNB1",24149.0952
"247","PTGER2","FN1",15504.181659414
"248","PTGER2","BSG",-826.237788508799
"249","PTGER2","LORICRIN",-1802.89824
"250","PTGER2","JUNB",-6373.952832
"251","PTGER2","MUC2",1241.448
"252","PTGER2","ESPL1",-8647.2439417
"253","PTGER2","RUNX1",-1485.9328549
"254","PTGER2","PTPRC",12179.6270107881
"255","PTGER2","KRT18",-1700.9193864
"256","PTGER2","DDX5",-5256.7055615
"257","PTGER2","INCENP",-8949.9164391
"258","PTGER2","CCL5",-1492.318269
"259","PTGER2","CACNA1H",-13881.65352
"260","PTGER2","PLAU",3552.0402752226
"261","PTGER2","HSPA1A",8424.325
"262","PTGER2","CTSD",-3001.6962164
"263","PTGER2","IFITM3",3697.8100724544
"264","PTGER2","KRT8",-4490.98
"265","PTGER2","EEF1A1",19157.7245254425
"266","PTGER2","LGALS3",-34241.7690802496
"267","PTGER2","GNAL",25200
"268","PTGER2","GNAO1",1060.752
"269","PTGER2","WNT2B",108.623469696
"270","PTGER2","PTGER3",996.451629056
"271","PTGER2","EDNRA",-2599.4633795832
"272","PTGER2","HTR2B",3355.8336
"273","PTGER2","WT1",-12097.6027792
"274","PTGER2","PAX2",23424.2073147664
"275","ESR1","PRKCD",104196.3372688
"276","ESR1","GNAS",15674.1288
"277","ESR1","PTPRJ",11196.0621904
"278","ESR1","PPARGC1A",-25560
"279","ESR1","SRF",-14008.6890466
"280","ESR1","ABL1",-19041.792
"281","ESR1","CALD1",86866.0714144
"282","ESR1","MYC",104368.9744
"283","ESR1","MYLK",-24208.5489528
"284","ESR1","EZR",50651.72
"285","ESR1","H3.3A",-20321.28
"286","ESR1","PIK3R1",61300
"287","ESR1","CDH1",28814.4
"288","ESR1","JUN",-16216.4
"289","ESR1","CAV1",34902.0744
"290","ESR1","AR",-42500
"291","ESR1","HBB",9637.3858288
"292","ESR1","EGFR",45606.4
"293","ESR1","PIM1",42130.1424704
"294","ESR1","STAT1",39739.9912
"295","ESR1","PRKDC",12820.5063168
"296","ESR1","NR4A1",-90995.5818
"297","ESR1","CDKN1A",49000
"298","ESR1","EPAS1",-38652.188231
"299","ESR1","VEGFA",8506.652
"300","ESR1","NFIB",1511.49218
"301","ESR1","SOCS3",14419.958
"302","ESR1","ADGRG1",-565.863609662299
"303","ESR1","CDH17",9457.07644
"304","ESR1","COL1A1",-17093.0797569
"305","ESR1","SLC12A2",13236.637632
"306","ESR1","NCL",3628.4976
"307","ESR1","BHLHE40",14391.166
"308","ESR1","BHLHE41",-7425.841656
"309","ESR1","NOS2",7616.88
"310","ESR1","TAP1",10968.2375712
"311","ESR1","INSR",2104.3343604
"312","ESR1","IRS2",-2276.3376
"313","ESR1","HSP90AB1",8653.640367
"314","ESR1","HBA1",5465.6202
"315","ESR1","APOE",-8590.7203379104
"316","ESR1","COL1A2",-4599.7328447
"317","ESR1","MECOM",-20516.3
"318","ESR1","CD68",-12388.932
"319","ESR1","VIM",58125.2994
"320","ESR1","CLU",-9230.035626
"321","ESR1","DYRK2",-28949.3332448
"322","ESR1","BDKRB2",11948.9875936
"323","ESR1","TIMP3",-1638.934592
"324","ESR1","TBX2",10225.8519607972
"325","ESR1","HK2",33326.8992
"326","ESR1","ITGB4",-4612.93056
"327","ESR1","SCNN1G",61635.4686026
"328","ESR1","CDR2",-2276.3376
"329","ESR1","HLA.A",-35952.1997933
"330","ESR1","TYMS",2514.86089309999
"331","ESR1","S1PR1",45316.4544
