"KICH" 7461 1
"BLCA" 4975 1
"BRCA" 8394 1
"COAD" 9706 1
"ESCA" 8512 1
"KIRC" 6263 1
"KIRP" 5591 1
"LIHC" 6174 1
"LUAD" 8950 1
"LUSC" 4610 2
"PAAD" 9210 1
"PRAD" 7098 1
"READ" 9789 1
"SKCM" 6057 2
"STAD" 7927 1
"THCA" 7744 1
"THYM" 7414 2
"UCEC" 4797 2
