"KICH" 4
"BLCA" 5
"BRCA" 18
"COAD" 6
"ESCA" 11
"KIRC" 8
"KIRP" 16
"LIHC" 12
"LUAD" 28
"LUSC" 9
"PAAD" 5
"PRAD" 14
"READ" 5
"SKCM" 5
"STAD" 13
"THCA" 10
"THYM" 3
"UCEC" 15
